house,country,wealth_index,hh_size,migrant_num,any_remit,migrant_hh,migrant_loc,hh_months,remit,census_tract,lat,long,district
160,south_africa,1.813914827866143,2,0,1,non-hh,national,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
161,south_africa,-0.11934835952469547,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
162,south_africa,0.2769847378637549,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
163,south_africa,0.30267093332752837,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
164,south_africa,1.292910831504207,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
165,south_africa,-0.2836804154211996,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
166,south_africa,-0.8422069567344348,8,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
168,south_africa,-1.4062535926846038,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
169,south_africa,-1.24367729321564,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
170,south_africa,-1.3159622823394919,1,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
171,south_africa,0.6819187626344027,7,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
172,south_africa,0.8834238189525029,5,0,1,non-hh,national,NA,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
173,south_africa,1.9110363610837344,4,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
174,south_africa,-0.17585798954499698,7,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
175,south_africa,0.8745773166281937,5,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
176,south_africa,1.822812145304279,3,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
177,south_africa,-1.9950133284355103,2,0,NA,NA,NA,NA,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
