house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long
227,kiambu,njiku,kenya,2009-11-11,6,1,1.176755255867719,0,-1.175746093,36.75241747
228,kiambu,njiku,kenya,2009-11-11,3,0,-0.7530528368316006,NA,-1.175746093,36.75241747
229,kiambu,njiku,kenya,2009-11-11,4,0,-3.0857783510343193,1,-1.175746093,36.75241747
230,kiambu,njiku,kenya,2009-11-11,4,0,0.5799633359899734,NA,-1.175746093,36.75241747
231,kiambu,njiku,kenya,2009-11-12,6,1,0.6986450918749744,1,-1.175746093,36.75241747
232,kiambu,njiku,kenya,2009-11-11,4,1,-0.08206877180634636,1,-1.175746093,36.75241747
233,kiambu,njiku,kenya,2009-11-11,3,1,3.0128462815969166,1,-1.175746093,36.75241747
234,kiambu,njiku,kenya,2009-11-12,3,1,2.242955733992299,1,-1.175746093,36.75241747
235,kiambu,njiku,kenya,2009-11-11,6,0,-1.1834519197594702,NA,-1.175746093,36.75241747
236,kiambu,njiku,kenya,2009-11-11,5,0,-2.6994821877634,NA,-1.175746093,36.75241747
237,kiambu,njiku,kenya,2009-11-11,5,0,-1.5923604631167925,NA,-1.175746093,36.75241747
238,kiambu,njiku,kenya,2009-11-11,1,0,1.7874047071734642,NA,-1.175746093,36.75241747
239,kiambu,njiku,kenya,2009-11-10,6,5,-2.0665060359704173,1,-1.175746093,36.75241747
240,kiambu,njiku,kenya,2009-11-11,5,1,-3.611981747563127,0,-1.175746093,36.75241747
241,kiambu,njiku,kenya,2009-11-11,4,0,-2.4115944961590987,NA,-1.175746093,36.75241747
242,kiambu,njiku,kenya,2009-11-11,4,1,0.3917477167976441,0,-1.175746093,36.75241747
243,kiambu,njiku,kenya,2009-11-11,4,0,0.4316371196909493,1,-1.175746093,36.75241747
244,kiambu,njiku,kenya,2009-11-11,3,0,-1.1776777380908638,NA,-1.175746093,36.75241747
245,kiambu,njiku,kenya,2009-11-11,4,0,-1.462212690157229,NA,-1.175746093,36.75241747
246,kiambu,mutundu,kenya,2009-11-10,1,1,0.1120060997810404,1,-1.170374442,36.83007059
247,kiambu,mutundu,kenya,2009-11-10,1,1,-1.686426667605052,1,-1.170374442,36.83007059
248,kiambu,mutundu,kenya,2009-11-10,4,0,0.5011821319177477,NA,-1.170374442,36.83007059
249,kiambu,mutundu,kenya,2009-11-10,2,0,-0.3488496760853197,1,-1.170374442,36.83007059
250,kiambu,sigona/nyathuwa,kenya,2009-11-11,2,2,-1.1510923476644914,1,-1.213613261,36.66018801
251,kiambu,sigona/nyathuwa,kenya,2009-11-10,3,2,0.1911844202902124,1,-1.213613261,36.66018801
252,kiambu,sigona/nyathuwa,kenya,2009-11-09,5,2,-0.9245353789750087,1,-1.213613261,36.66018801
253,kiambu,sigona/nyathuwa,kenya,2009-11-09,7,4,-1.010200066186148,1,-1.213613261,36.66018801
254,kiambu,sigona/nyathuwa,kenya,2009-11-08,5,1,-0.17538859374660823,1,-1.213613261,36.66018801
255,kiambu,sigona/nyathuwa,kenya,2009-11-09,8,2,-0.934410200688868,1,-1.213613261,36.66018801
256,kiambu,sigona/nyathuwa,kenya,2009-11-09,5,0,-0.13549919085330295,NA,-1.213613261,36.66018801
257,kiambu,sigona/nyathuwa,kenya,2009-11-11,4,0,1.116921151527761,NA,-1.213613261,36.66018801
258,kiambu,sigona/nyathuwa,kenya,2009-11-11,3,0,0.5400939863651725,NA,-1.213613261,36.66018801
259,kiambu,sigona/nyathuwa,kenya,2009-11-11,2,0,1.2305481295265146,NA,-1.213613261,36.66018801
260,kiambu,sigona/nyathuwa,kenya,2009-11-10,5,0,-0.09288216542781091,NA,-1.213613261,36.66018801
261,kiambu,sigona/nyathuwa,kenya,2009-11-12,6,1,-0.050157249491702166,1,-1.213613261,36.66018801
262,kiambu,sigona/nyathuwa,kenya,2009-11-09,3,2,0.9554536454306214,1,-1.213613261,36.66018801
263,kiambu,sigona/nyathuwa,kenya,2009-11-10,3,1,0.5645849016880305,0,-1.213613261,36.66018801
264,kiambu,sigona/nyathuwa,kenya,2009-11-09,2,2,0.18619824492854922,1,-1.213613261,36.66018801
265,kiambu,sigona/nyathuwa,kenya,2009-11-10,7,3,-1.28424126458965,1,-1.213613261,36.66018801
266,kiambu,sigona/nyathuwa,kenya,2009-11-10,4,1,1.0337242770441433,0,-1.213613261,36.66018801
267,kiambu,sigona/nyathuwa,kenya,2009-11-09,1,1,-1.8431145974904897,1,-1.213613261,36.66018801
268,kiambu,sigona/nyathuwa,kenya,2009-11-09,3,1,-0.10451630108640725,1,-1.213613261,36.66018801
269,kiambu,sigona/nyathuwa,kenya,2009-11-11,3,1,-0.9544524311449877,1,-1.213613261,36.66018801
270,kiambu,sigona/nyathuwa,kenya,2009-11-10,8,5,-0.9742996035821735,1,-1.213613261,36.66018801
271,kiambu,sigona/nyathuwa,kenya,2009-11-10,6,1,-1.48276213416967,0,-1.213613261,36.66018801
272,kiambu,sigona/nyathuwa,kenya,2009-11-11,5,1,0.24603234926850717,1,-1.213613261,36.66018801
