,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
1846,1936,imo,umudagu,nigeria,6,0,1.151678020675579,,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1847,1937,imo,umudagu,nigeria,1,0,1.326955518556778,,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1848,1939,imo,umudagu,nigeria,5,1,1.3416328108414102,0.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1849,1940,imo,umudagu,nigeria,3,3,2.2089697152136245,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1850,1941,imo,umudagu,nigeria,7,1,1.7619654950786878,0.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1851,1943,imo,umudagu,nigeria,3,1,1.904769715112569,0.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1852,1944,imo,umudagu,nigeria,5,3,2.268901982327033,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1853,1945,imo,umudagu,nigeria,4,1,0.6961796627595741,0.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1854,1946,imo,umudagu,nigeria,5,5,1.5877512706680843,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1855,1947,imo,umudagu,nigeria,6,1,1.5968011175589474,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1856,1948,imo,umudagu,nigeria,4,1,1.236582039938676,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1857,1949,imo,umudagu,nigeria,6,2,2.825182458868676,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1858,1950,imo,umudagu,nigeria,4,1,1.2739938593153657,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1859,1951,imo,umudagu,nigeria,6,1,0.5909839580386637,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1860,1952,imo,umudagu,nigeria,5,2,3.2214452960215336,1.0,5.528352921,7.045245737,5.55,7.05,-1.8893773555755615,-1.8893773555755615,1.0,0.16666666666666666,-1.8893773555755615,-0.1666666666666664
1861,1953,abia,umudike,nigeria,4,2,1.8679424659416293,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1862,1954,abia,umudike,nigeria,3,1,0.6082787480119022,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1863,1955,abia,umudike,nigeria,5,1,1.8529115878247309,0.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1864,1956,abia,umudike,nigeria,10,2,0.3771619135873243,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1865,1957,abia,umudike,nigeria,9,3,1.293187951150598,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1866,1958,abia,umudike,nigeria,3,2,1.3245917500734046,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1867,1959,abia,umudike,nigeria,7,5,1.019960404572126,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1868,1960,abia,umudike,nigeria,3,4,3.0931049721036583,0.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1869,1961,abia,umudike,nigeria,2,5,1.708251555287124,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1870,1962,abia,umudike,nigeria,3,5,1.6744320795241014,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1871,1963,abia,umudike,nigeria,2,0,1.1723440560598606,,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1872,1964,abia,umudike,nigeria,6,0,-0.1662786755720512,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1873,1965,abia,umudike,nigeria,5,0,-1.0100135795552387,,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1874,1966,abia,umudike,nigeria,3,0,0.624948367619862,,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1875,1967,abia,umudike,nigeria,8,0,0.6308250651872503,,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1876,1968,abia,umudike,nigeria,6,0,-0.1715238993452246,,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1877,1969,abia,umudike,nigeria,8,3,-0.883078008378769,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1878,1970,abia,umudike,nigeria,6,3,2.0765412734551094,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1879,1971,abia,umudike,nigeria,1,6,1.8754579050000788,0.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1880,1972,abia,umudike,nigeria,5,4,0.1161827349867703,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1881,1973,abia,umudike,nigeria,4,1,-0.1917858625668514,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1882,1974,abia,umudike,nigeria,6,1,-0.2270988251315475,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1883,1975,abia,umudike,nigeria,2,5,1.0402520900299397,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1884,1976,abia,umudike,nigeria,2,4,1.5430679917779893,1.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1885,1977,abia,umudike,nigeria,5,1,1.318865701266967,0.0,5.477197588,7.544743983,5.5,7.55,-1.4795016646385193,-1.5239768624305725,1.5,0.3333333333333333,-2.1030591130256653,-0.33333333333333326
1886,1978,imo,umuekwene,nigeria,11,0,1.5708415327865728,,5.516374744,7.323840809,5.5,7.3,-1.5826995372772217,-1.611785113811493,2.0,0.3333333333333333,-2.851325750350952,-0.33333333333333326
