,house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
76,78,south_africa,4,1,-0.3208331017648602,1.0,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
77,79,south_africa,5,0,2.502268548590477,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
78,80,south_africa,4,0,2.526242331023332,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
79,81,south_africa,4,0,0.9846610114729366,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
80,82,south_africa,3,0,-0.4749502745475005,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
81,83,south_africa,4,0,0.8819162296178432,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
82,84,south_africa,2,0,-0.8583843612590395,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
83,85,south_africa,3,0,0.0067433919255003,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
84,86,south_africa,8,0,-0.1859030740527998,1.0,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
85,87,south_africa,2,0,-0.8432679065431217,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
86,88,south_africa,4,0,-1.0229890691653072,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
87,89,south_africa,2,0,-0.304825260432498,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
88,90,south_africa,3,0,-1.0229890691653072,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
89,91,south_africa,2,0,-2.843648020052133,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
90,92,south_africa,3,0,1.585137335737125,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
91,93,south_africa,4,0,-3.2727646282902416,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
92,94,south_africa,3,0,0.3540433242550751,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
93,95,south_africa,7,0,1.6044794838622056,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
94,96,south_africa,2,0,1.5956208935224057,,emfuleni,-26.70620512,27.83267563,sedibeng district municipality,-26.7,27.85,-1.698974847793579,-1.8267985582351685,2.0,0.2,-3.397949695587158,-0.19999999999999973,80113198.5330731,0.18952102886487507,0.020862771706377792
95,97,south_africa,2,0,-0.3470200773473025,,,,,,,,,,,,,,,,
96,98,south_africa,9,0,2.389738549415851,,,,,,,,,,,,,,,,
97,99,south_africa,8,0,1.8741845362318252,,,,,,,,,,,,,,,,
98,100,south_africa,4,0,0.3967632658881819,,,,,,,,,,,,,,,,
99,101,south_africa,3,0,0.4497682366143306,,,,,,,,,,,,,,,,
100,102,south_africa,4,0,0.1223312715124805,,,,,,,,,,,,,,,,
