,house,district,census_tract,country,date,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
48,50,kisii,bonyanchaire,kenya,11/8/2009,6,0,1.068270799,1.0,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
49,51,kisii,bonyanchaire,kenya,11/8/2009,5,0,0.49414113,,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
50,52,kisii,bonyanchaire,kenya,11/8/2009,4,0,1.649402436,,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
51,53,kisii,bonyanchaire,kenya,11/8/2009,5,0,3.143336925,,-0.678288351,34.70904985,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
52,54,kisii,bomakombi,kenya,11/9/2009,2,0,0.149770014,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
53,55,kisii,bomakombi,kenya,11/10/2009,5,0,0.840822121,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
54,56,kisii,bomakombi,kenya,11/8/2009,4,0,3.073151607,,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
55,57,kisii,bomakombi,kenya,11/9/2009,2,0,3.548432227,1.0,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
56,58,kisii,bomakombi,kenya,11/9/2009,5,0,2.431666529,,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
57,59,kisii,bomakombi,kenya,11/8/2009,6,0,3.212616624,,-0.70441522,34.69546123,-0.7,34.7,-2.0119850635528564,-2.1218271255493164,3.0,0.2,-6.035955429077148,-0.19999999999999973,419523885.8808659,0.22378636470066288,-0.48225635294378133
