,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
71,73,masaka,lwayebele,uganda,5,6,-1.679753428,0,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
72,74,masaka,lwayebele,uganda,6,0,-2.051695319,,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
73,75,masaka,lwayebele,uganda,5,0,-0.324946347,,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
74,76,masaka,lwayebele,uganda,5,0,-0.664541834,,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
75,77,masaka,lwayebele,uganda,4,1,-2.454191402,0,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
76,78,masaka,lwayebele,uganda,4,0,-2.22851297,,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
77,79,masaka,lwayebele,uganda,9,0,-0.839606812,,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
78,80,masaka,lwayebele,uganda,1,0,-1.246107466,,0.77240684,32.26219094,0.75,32.25,-1.855024457,-1.992066294,2.75,0.8,-5.077435076,-0.8,286004960.37814873,0.27699687142457513,0.066234825
79,81,masaka,maida,uganda,2,2,-0.678407943,0,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
80,82,masaka,maida,uganda,6,0,3.014957121,,-0.3857,31.3233,-0.4,31.3,-1.839668433,-1.953873436,3.1666666666666665,0.8,-5.99127998,-0.3,261440930.0888456,0.22278446458264606,-1.884128423
