,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,pop_cent_lat,pop_cent_long,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
60,62,2/19/2010,kaliro,bubbumbi,uganda,6,6,-2.047959829,1,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
61,63,2/19/2010,kaliro,bubbumbi,uganda,10,3,-0.728916392,0,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
62,64,2/19/2010,kaliro,bubbumbi,uganda,8,0,-2.683078719,,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
63,65,2/19/2010,kaliro,bubbumbi,uganda,7,0,-0.853808922,,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
64,66,2/19/2010,kaliro,bubbumbi,uganda,5,0,-0.374385497,,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
65,67,2/19/2010,kaliro,bubbumbi,uganda,5,0,-1.163319532,,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
66,68,2/19/2010,kaliro,bubbumbi,uganda,12,5,-0.763249489,0,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
67,69,2/19/2010,kaliro,bubbumbi,uganda,5,0,-2.482802316,,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
68,70,2/19/2010,kaliro,bubbumbi,uganda,5,0,-1.693428934,,0.97722,33.49732,1,33.5,0.935776158,33.47551566,-1.461802622,-1.511704609,1.6666666666666667,1.6,-2.642900184,-0.35,344441197.0750578,0.26105373248101804,0.7690673700127115
69,71,2/23/2010,masaka,lwayebele,uganda,4,3,-0.625917099,0,0.77240684,32.26219094,0.75,32.25,0.716666979,32.29741899,-1.812602043,-1.992066294,3.25,0.8,-5.726076543,-0.8,458611920.8658353,0.27699687142457513,0.1817303951046328
