,house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion,area,NDVI_mean,SVI_severity
95,97,akwa ibom,afaha offot,nigeria,11,5,1.3126919011189764,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
96,98,akwa ibom,afaha offot,nigeria,6,0,1.6744320795241014,,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
97,99,akwa ibom,afaha offot,nigeria,6,0,0.860974491,,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
98,100,akwa ibom,afaha offot,nigeria,9,2,1.4891486232157851,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
99,101,akwa ibom,afaha offot,nigeria,3,1,1.0197650596055956,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
100,102,akwa ibom,afaha offot,nigeria,6,0,1.3350564998937298,,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
101,103,akwa ibom,afaha offot,nigeria,5,0,-0.052951642,,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
102,104,akwa ibom,afaha offot,nigeria,4,2,1.3181499451661622,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
103,105,akwa ibom,afaha offot,nigeria,3,1,0.681909609,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
104,106,akwa ibom,afaha offot,nigeria,3,4,0.5242671068604814,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
105,107,akwa ibom,afaha offot,nigeria,6,1,-0.112791996,0.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
106,108,akwa ibom,afaha offot,nigeria,4,3,1.3010000890110995,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
107,109,akwa ibom,afaha offot,nigeria,2,5,0.2663261402402013,1.0,5.03333,7.88333,5.05,7.9,-1.6718173027038574,-1.6880275011062622,2.0,0.2,-3.343634605407715,-0.19999999999999984,675621.8157550188,0.18568836953997214,1.5566605523167698
108,110,rivers,afam nta,nigeria,4,1,-3.176756727,1.0,4.80606,7.3447,4.8,7.35,-1.7753764390945435,-1.7753764390945435,1.0,0.4,-1.7753764390945435,-0.3999999999999999,244310113.09836456,0.1828195737064619,0.60311557453485
