,house,date,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_SPEI,long_SPEI,NDVI_lat,NDVI_lon,sev_lat,sev_lon,pop_cent_lat,pop_cent_long,annual_frequency,severity,autocorrelation,avg_area,NDVI_mean,SVI_severity
56,58,2/12/2010,nebbi,paila west/central,uganda,7,0,-2.640162347,,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
57,59,2/12/2010,nebbi,paila west/central,uganda,3,0,-2.468496859,,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
58,60,2/12/2010,nebbi,paila west/central,uganda,2,0,-1.739391733,,2.46547,31.31556,2.45,31.3,2.45,31.3,2.45,31.3,2.334114878,31.31153159,3.0,-0.3107148806254069,0.22777777777777777,158297522.37124786,0.2842630679753229,0.6346731888396459
59,61,2/19/2010,kaliro,bubbumbi,uganda,2,3,-2.425580487,0.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
60,62,2/19/2010,kaliro,bubbumbi,uganda,6,6,-2.047959829,1.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
61,63,2/19/2010,kaliro,bubbumbi,uganda,10,3,-0.728916392,0.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
62,64,2/19/2010,kaliro,bubbumbi,uganda,8,0,-2.683078719,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
63,65,2/19/2010,kaliro,bubbumbi,uganda,7,0,-0.853808922,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
64,66,2/19/2010,kaliro,bubbumbi,uganda,5,0,-0.374385497,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
65,67,2/19/2010,kaliro,bubbumbi,uganda,5,0,-1.163319532,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
66,68,2/19/2010,kaliro,bubbumbi,uganda,12,5,-0.763249489,0.0,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
67,69,2/19/2010,kaliro,bubbumbi,uganda,5,0,-2.482802316,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
68,70,2/19/2010,kaliro,bubbumbi,uganda,5,0,-1.693428934,,0.97722,33.49732,1.0,33.5,1.0,33.5,1.0,33.5,0.935776158,33.47551566,1.4,-0.40925162179129465,0.04191374663072782,364156286.71123064,0.29451410832897346,0.4106817687555072
69,71,2/23/2010,masaka,lwayebele,uganda,4,3,-0.625917099,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
70,72,2/23/2010,masaka,lwayebele,uganda,8,2,-0.728916392,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
71,73,2/23/2010,masaka,lwayebele,uganda,5,6,-1.679753428,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
72,74,2/23/2010,masaka,lwayebele,uganda,6,0,-2.051695319,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
73,75,2/23/2010,masaka,lwayebele,uganda,5,0,-0.324946347,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
74,76,2/23/2010,masaka,lwayebele,uganda,5,0,-0.664541834,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
75,77,2/23/2010,masaka,lwayebele,uganda,4,1,-2.454191402,0.0,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
76,78,2/23/2010,masaka,lwayebele,uganda,4,0,-2.22851297,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
77,79,2/23/2010,masaka,lwayebele,uganda,9,0,-0.839606812,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
78,80,2/23/2010,masaka,lwayebele,uganda,1,0,-1.246107466,,0.77240684,32.26219094,0.75,32.25,0.75,32.25,0.75,32.25,0.716666979,32.29741899,2.2,-0.34633996269919654,-0.10398886827458262,262881565.03555334,0.2788685115378827,0.02408539104427804
79,81,2/22/2010,masaka,maida,uganda,2,2,-0.678407943,0.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
80,82,2/22/2010,masaka,maida,uganda,6,0,3.014957121,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
81,83,2/22/2010,masaka,maida,uganda,5,0,2.817910936,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
82,84,2/22/2010,masaka,maida,uganda,3,0,0.526385118,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
83,85,2/22/2010,masaka,maida,uganda,6,2,1.290668193,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
84,86,2/20/2010,masaka,maida,uganda,7,0,0.454857831,,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
85,87,2/22/2010,masaka,maida,uganda,3,2,-0.381728829,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
86,88,2/22/2010,masaka,maida,uganda,6,3,1.777191288,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
87,89,2/22/2010,masaka,maida,uganda,6,4,1.97746769,0.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
88,90,2/22/2010,masaka,maida,uganda,10,3,1.179085626,1.0,-0.3857,31.3233,-0.4,31.3,-0.4,31.3,-0.4,31.3,-0.399080159,31.31153159,2.2,-0.3585530627857555,-0.013079777365491626,236687325.54838896,0.19898226666245447,-0.611829597746525
89,91,2/21/2010,kampala,zone iv c,uganda,1,1,4.16308135,1.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
90,92,2/21/2010,kampala,zone iv c,uganda,1,1,1.901859362,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
91,93,2/21/2010,kampala,zone iv c,uganda,4,1,2.792508908,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
92,94,2/21/2010,kampala,zone iv c,uganda,2,0,3.56272534,,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
93,95,2/21/2010,kampala,zone iv c,uganda,2,1,3.075409169,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
94,96,2/21/2010,kampala,zone iv c,uganda,4,1,2.829539172,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
95,97,2/21/2010,kampala,zone iv c,uganda,1,0,3.161241913,,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
96,98,2/21/2010,kampala,zone iv c,uganda,1,1,2.697788511,0.0,0.323160174,32.55801405,0.3,32.55,0.3,32.55,0.3,32.55,0.322981339,32.52700846,1.8,-0.33203114403618705,-0.05457516339869277,291771631.57340485,0.22691358473435866,-0.5582116044956996
