house,country,hh_size,migrant_num,wealth_index,remit,municipality,lat,long,district
209,south_africa,7,0,-0.03178590127015965,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
210,south_africa,3,0,0.8690731318859565,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
211,south_africa,1,0,2.1507743205415553,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
212,south_africa,6,0,1.6892439288926575,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
213,south_africa,5,0,0.85623003415407,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
214,south_africa,4,0,1.7508907980057138,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
215,south_africa,4,0,0.8885610580452574,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
216,south_africa,4,0,1.7508907980057138,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
218,south_africa,3,0,0.8577376234887294,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
219,south_africa,7,0,-1.803999996151186,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
220,south_africa,4,0,0.3041785226621879,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
221,south_africa,3,1,0.006743391925500358,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
222,south_africa,5,0,-0.07031519446581969,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
223,south_africa,1,0,-1.014211512701415,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
224,south_africa,2,0,-1.07037297536242,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
225,south_africa,7,0,-1.0741484031547357,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
226,south_africa,4,0,-2.9977651928347733,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
227,south_africa,1,0,-2.0010417187308907,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
228,south_africa,1,0,-2.7087179923400724,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
229,south_africa,3,0,-2.087344544345569,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
230,south_africa,2,0,-3.0082527279584004,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
232,south_africa,5,0,-0.6901181923890986,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
233,south_africa,1,0,-3.4268818010728817,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
234,south_africa,5,0,-1.0754111243456987,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
235,south_africa,3,0,-1.7280023595685525,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
236,south_africa,4,0,-1.766921278986118,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
237,south_africa,5,0,-2.3843062422501875,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
238,south_africa,5,0,-1.7280023595685525,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
239,south_africa,3,0,-2.9997252691279033,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
240,south_africa,2,0,-2.3947937773738146,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
241,south_africa,4,0,2.3219208484607474,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
242,south_africa,6,0,1.7420841024181344,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
243,south_africa,3,2,2.6990350048312424,1,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
244,south_africa,6,0,2.1838115170104695,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
245,south_africa,4,0,1.7200673634491854,NA,ekurhuleni metro,-26.01433756,28.20518323,ekurhuleni metropolitan municipality
