house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long
227,kamuli,mukasa/dening,senegal,12,3,1.82869093399145,1,0.93199,34.29049
228,kamuli,mukasa/dening,senegal,5,0,0.219639123895252,NA,0.93199,34.29049
229,kamuli,mukasa/dening,senegal,6,3,0.397636001459915,0,0.93199,34.29049
230,kamuli,mukasa/dening,senegal,5,1,0.780147860062782,1,0.93199,34.29049
231,jinja,nizam,senegal,5,0,3.246693775277,NA,0.43322,33.2096
232,jinja,nizam,senegal,5,1,2.82111982262158,1,0.43322,33.2096
233,jinja,nizam,senegal,1,0,3.8456256006485,NA,0.43322,33.2096
234,jinja,nizam,senegal,3,0,3.70851560044226,NA,0.43322,33.2096
235,jinja,nizam,senegal,7,1,1.98298884225451,1,0.43322,33.2096
236,jinja,nizam,senegal,12,1,3.37381131457146,1,0.43322,33.2096
237,jinja,nizam,senegal,3,1,1.91353247978265,0,0.43322,33.2096
238,jinja,nizam,senegal,5,0,2.43213678694051,NA,0.43322,33.2096
239,jinja,nizam,senegal,6,6,2.93352966356099,1,0.43322,33.2096
240,jinja,nizam,senegal,3,0,2.18884066459674,NA,0.43322,33.2096
241,masaka,falkland,senegal,1,3,3.30226266857742,0,-0.34216,31.74136
242,masaka,falkland,senegal,2,0,4.16308134957009,NA,-0.34216,31.74136
243,masaka,falkland,senegal,4,0,2.90374368060004,NA,-0.34216,31.74136
244,masaka,falkland,senegal,1,0,2.45780462204698,NA,-0.34216,31.74136
245,masaka,falkland,senegal,3,8,2.77903072416048,1,-0.34216,31.74136
246,masaka,falkland,senegal,5,0,0.584092286315155,NA,-0.34216,31.74136
247,masaka,falkland,senegal,5,0,1.55852838580351,NA,-0.34216,31.74136
248,masaka,falkland,senegal,5,2,2.53501067558361,0,-0.34216,31.74136
249,masaka,falkland,senegal,6,0,2.73207819237726,NA,-0.34216,31.74136
250,rukungiri,rusheshe,senegal,3,5,-0.338725200571235,0,-0.71873,29.9849
251,rukungiri,rusheshe,senegal,5,1,0.347680550028698,1,-0.71873,29.9849
252,rukungiri,rusheshe,senegal,2,0,-1.33316016040111,NA,-0.71873,29.9849
253,rukungiri,rusheshe,senegal,6,0,-1.40060640571798,NA,-0.71873,29.9849
254,rukungiri,rusheshe,senegal,5,0,-0.700305476911717,NA,-0.71873,29.9849
255,rukungiri,rusheshe,senegal,2,1,-1.26182615612527,1,-0.71873,29.9849
256,rukungiri,rusheshe,senegal,3,1,-0.686000019559818,1,-0.71873,29.9849
257,rukungiri,rusheshe,senegal,3,0,-2.00504345698723,NA,-0.71873,29.9849
258,rukungiri,rusheshe,senegal,3,0,-1.48643914982937,NA,-0.71873,29.9849
259,rukungiri,rusheshe,senegal,2,1,-1.96212708493153,1,-0.71873,29.9849
260,ntungamo,kahenje,senegal,8,1,-1.43349164434805,1,-0.83127,30.05351
261,ntungamo,kahenje,senegal,9,1,0.534365119897547,0,-0.83127,30.05351
262,ntungamo,kahenje,senegal,3,1,-0.643083647504122,1,-0.83127,30.05351
263,ntungamo,kahenje,senegal,2,0,-1.96212708493153,NA,-0.83127,30.05351
264,ntungamo,kahenje,senegal,4,0,-1.43593070168273,NA,-0.83127,30.05351
265,ntungamo,kahenje,senegal,9,1,-1.48643914982937,0,-0.83127,30.05351
266,ntungamo,kahenje,senegal,5,1,-1.37199549101419,1,-0.83127,30.05351
267,ntungamo,kahenje,senegal,4,0,-1.70836434249575,NA,-0.83127,30.05351
268,ntungamo,kahenje,senegal,12,0,-1.57227189394077,NA,-0.83127,30.05351
269,ntungamo,kahenje,senegal,3,0,-1.62253159838436,NA,-0.83127,30.05351
270,ntungamo,rutoma/rurama,senegal,6,0,-2.59724597519221,NA,-0.47,30.59611
271,ntungamo,rutoma/rurama,senegal,5,0,-2.09087620109862,NA,-0.47,30.59611
272,ntungamo,rutoma/rurama,senegal,7,0,-2.54002414578461,NA,-0.47,30.59611
273,ntungamo,rutoma/rurama,senegal,6,1,-0.399811074759534,1,-0.47,30.59611
274,ntungamo,rutoma/rurama,senegal,3,0,-1.96212708493153,NA,-0.47,30.59611
275,ntungamo,rutoma/rurama,senegal,1,0,-1.2718572895509,NA,-0.47,30.59611
276,ntungamo,rutoma/rurama,senegal,7,0,-2.07657074374672,NA,-0.47,30.59611
277,ntungamo,rutoma/rurama,senegal,5,0,-1.37199549101419,NA,-0.47,30.59611
279,ntungamo,rutoma/rurama,senegal,6,0,-1.31477366160659,NA,-0.47,30.59611
280,bushenyi,buraro ii,senegal,4,1,-1.34971596565227,0,-0.73043,30.18502
281,bushenyi,buraro ii,senegal,3,0,-0.162745380573887,NA,-0.73043,30.18502
282,bushenyi,buraro ii,senegal,5,2,-0.0592834429286533,1,-0.73043,30.18502
283,bushenyi,buraro ii,senegal,5,0,-0.00206161352105888,NA,-0.73043,30.18502
284,bushenyi,buraro ii,senegal,2,0,-1.93351617022774,NA,-0.73043,30.18502
285,bushenyi,buraro ii,senegal,8,0,-0.702362542327325,NA,-0.73043,30.18502
286,bushenyi,buraro ii,senegal,4,1,-1.34338457631039,1,-0.73043,30.18502
287,bushenyi,buraro ii,senegal,7,0,-0.738126185707072,NA,-0.73043,30.18502
288,bushenyi,buraro ii,senegal,2,0,-2.04795982904293,NA,-0.73043,30.18502
289,bushenyi,buraro ii,senegal,6,0,-0.794908667699663,NA,-0.73043,30.18502
290,masaka,binyonyi b,senegal,5,0,-0.70428317099285,NA,-0.31549,31.7601
291,masaka,binyonyi b,senegal,6,0,3.39105985152068,NA,-0.31549,31.7601
292,masaka,binyonyi b,senegal,2,0,2.95069621238327,NA,-0.31549,31.7601
293,masaka,binyonyi b,senegal,3,0,2.58234408913544,NA,-0.31549,31.7601
294,masaka,binyonyi b,senegal,5,1,-0.182614754653912,1,-0.31549,31.7601
295,masaka,binyonyi b,senegal,3,0,-0.0721487899198576,NA,-0.31549,31.7601
296,masaka,binyonyi b,senegal,6,4,-0.507215654199203,0,-0.31549,31.7601
297,masaka,binyonyi b,senegal,3,1,1.50686155973735,0,-0.31549,31.7601
298,masaka,binyonyi b,senegal,4,0,0.311803257348523,NA,-0.31549,31.7601
299,masaka,binyonyi b,senegal,4,0,-0.620804122142204,NA,-0.31549,31.7601
301,lira,obutowelo a/b,senegal,11,0,1.71996945811702,NA,2.229544,32.88052
302,lira,obutowelo a/b,senegal,2,4,-1.58115954685084,0,2.229544,32.88052
303,lira,obutowelo a/b,senegal,7,0,0.773244200745178,1,2.229544,32.88052
304,lira,obutowelo a/b,senegal,5,0,-1.09307292419028,NA,2.229544,32.88052
305,lira,obutowelo a/b,senegal,3,4,-0.14805926663737,1,2.229544,32.88052
306,lira,obutowelo a/b,senegal,7,1,2.73611435210479,1,2.229544,32.88052
307,lira,obutowelo a/b,senegal,5,0,1.20646541314558,NA,2.229544,32.88052
308,lira,obutowelo a/b,senegal,9,0,-0.814749135726905,NA,2.229544,32.88052
309,lira,obutowelo a/b,senegal,1,0,-1.21319534978261,NA,2.229544,32.88052
310,lira,obutowelo a/b,senegal,3,0,0.20892936870542,NA,2.229544,32.88052
311,wakiso,kisimbiri b,senegal,4,0,3.85157017396125,NA,0.40524,32.48069
312,wakiso,kisimbiri b,senegal,3,0,2.47730350689546,NA,0.40524,32.48069
313,wakiso,kisimbiri b,senegal,2,2,2.99361258443896,0,0.40524,32.48069
314,wakiso,kisimbiri b,senegal,4,1,2.96786276120554,0,0.40524,32.48069
315,wakiso,kisimbiri b,senegal,4,2,2.96786276120554,1,0.40524,32.48069
316,wakiso,kisimbiri b,senegal,1,0,2.52021987895115,NA,0.40524,32.48069
317,wakiso,kisimbiri b,senegal,2,0,1.97093373280187,NA,0.40524,32.48069
318,wakiso,kisimbiri b,senegal,1,2,3.20415828498991,0,0.40524,32.48069
319,wakiso,kisimbiri b,senegal,1,2,2.77570565264409,0,0.40524,32.48069
320,wakiso,kisimbiri b,senegal,3,1,3.83726471660935,0,0.40524,32.48069
321,kampala,kikandwa d,senegal,4,2,3.2335964732883,0,0.31188,32.55126
322,kampala,kikandwa d,senegal,5,3,2.74959253586209,1,0.31188,32.55126
323,kampala,kikandwa d,senegal,1,0,3.20415828498991,1,0.31188,32.55126
324,kampala,kikandwa d,senegal,6,6,3.54555879092119,0,0.31188,32.55126
325,kampala,kikandwa d,senegal,9,0,2.28515053722552,1,0.31188,32.55126
326,kampala,kikandwa d,senegal,3,0,3.47914294353133,NA,0.31188,32.55126
327,kampala,kikandwa d,senegal,3,0,1.50284385780792,NA,0.31188,32.55126
328,kampala,kikandwa d,senegal,7,0,3.40761565677183,NA,0.31188,32.55126
329,kampala,kikandwa d,senegal,4,0,3.58812736831433,NA,0.31188,32.55126
330,kampala,kikandwa d,senegal,8,0,-0.728916391615514,NA,0.31188,32.55126
331,mityana,nabutaka/mpiriggwa,senegal,4,0,-1.76505956813789,NA,0.48333,32.16667
332,mityana,nabutaka/mpiriggwa,senegal,6,1,-2.59724597519221,0,0.48333,32.16667
333,mityana,nabutaka/mpiriggwa,senegal,1,0,-0.317267014543387,1,0.48333,32.16667
334,mityana,nabutaka/mpiriggwa,senegal,3,0,-1.07478977275725,NA,0.48333,32.16667
335,mityana,nabutaka/mpiriggwa,senegal,6,0,-1.09336955403542,NA,0.48333,32.16667
336,mityana,nabutaka/mpiriggwa,senegal,2,1,-0.600167275448426,0,0.48333,32.16667
