house,district,census_tract,country,hh_size,migrant_num,wealth_index,remit,lat,long,lat_regrid,long_regrid,intensity,magnitude,duration,frequency,severity,dispersion
103,akwa ibom,afaha offot,nigeria,5,0,-0.052951642,,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
104,akwa ibom,afaha offot,nigeria,4,2,1.3181499451661622,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
105,akwa ibom,afaha offot,nigeria,3,1,0.681909609,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
106,akwa ibom,afaha offot,nigeria,3,4,0.5242671068604814,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
107,akwa ibom,afaha offot,nigeria,6,1,-0.112791996,0,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
108,akwa ibom,afaha offot,nigeria,4,3,1.3010000890110995,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
109,akwa ibom,afaha offot,nigeria,2,5,0.2663261402402013,1,5.03333,7.88333,5.05,7.9,-1.511596441,-1.51970154,1.5,0.3333333333333333,-2.347505093,-0.333333333
110,rivers,afam nta,nigeria,4,1,-3.176756727,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
111,rivers,afam nta,nigeria,7,1,-0.739520988,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
112,rivers,afam nta,nigeria,11,3,1.698249638997425,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
113,rivers,afam nta,nigeria,8,1,-1.519026339,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
114,rivers,afam nta,nigeria,6,1,1.1313863352177655,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
115,rivers,afam nta,nigeria,11,1,0.2321153089565151,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
116,rivers,afam nta,nigeria,7,1,0.072568325,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
117,rivers,afam nta,nigeria,5,0,0.6195519065995764,,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
118,rivers,afam nta,nigeria,12,0,-0.754551866,,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
119,rivers,afam nta,nigeria,11,0,0.080584793,,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
120,rivers,afam nta,nigeria,7,1,-0.690778832,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
121,rivers,afam nta,nigeria,7,1,1.1404048620879048,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
122,rivers,afam nta,nigeria,8,1,0.095615671,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
123,rivers,afam nta,nigeria,9,1,-0.727496286,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
124,rivers,afam nta,nigeria,8,1,0.4724053968307201,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
125,rivers,afam nta,nigeria,8,1,-1.519026339,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
126,rivers,afam nta,nigeria,15,1,-1.541572656,0,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
127,rivers,afam nta,nigeria,7,1,-0.70393085,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
128,rivers,afam nta,nigeria,7,1,0.74056779,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
129,rivers,afam nta,nigeria,10,1,-0.701425704,1,4.80606,7.3447,4.8,7.35,-1.546418309,-1.614425341,1.3333333333333333,0.5,-2.083456953,-0.5
130,lagos,ajido,nigeria,1,1,1.6661558164210022,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
131,lagos,ajido,nigeria,10,1,1.5141213820654138,1,6.41667,3.01667,6.4,3,0,0,0,0,0,0
132,lagos,ajido,nigeria,3,2,0.5098172162074096,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
133,lagos,ajido,nigeria,3,1,1.0440271241169543,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
134,lagos,ajido,nigeria,6,1,0.9530637168131212,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
135,lagos,ajido,nigeria,8,3,2.2050207503302137,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
136,lagos,ajido,nigeria,9,2,1.055807847065429,1,6.41667,3.01667,6.4,3,0,0,0,0,0,0
137,lagos,ajido,nigeria,8,1,-2.048645343,1,6.41667,3.01667,6.4,3,0,0,0,0,0,0
139,lagos,ajido,nigeria,5,2,-0.006646795,0,6.41667,3.01667,6.4,3,0,0,0,0,0,0
